regionname,countryname,project result,curr_project_cost,lendinginstr
Western and Central Africa,Republic of Liberia,Success,28550000,Technical Assistance Loan
Western and Central Africa,Republic of Liberia,Success,10000000,Development Policy Lending
Western and Central Africa,Republic of Ghana,Success,100000000,Development Policy Lending
Middle East and North Africa,Lebanese Republic,Success,30000000,Investment Project Financing
Eastern and Southern Africa,Republic of Mozambique,Success,119100000,Investment Project Financing
Eastern and Southern Africa,Republic of Burundi,Success,15000000,Specific Investment Loan
Eastern and Southern Africa,Republic of Burundi,Success,4200000,Investment Project Financing
Eastern and Southern Africa,Republic of Zambia,Success,36000000,Investment Project Financing
Eastern and Southern Africa,United Republic of Tanzania,Success,300000000,Investment Project Financing
Middle East and North Africa,Republic of Tunisia,Success,5000000,Specific Investment Loan
Western and Central Africa,Republic of Guinea-Bissau,Success,8200000,Investment Project Financing
Western and Central Africa,Republic of Niger,Success,65240000,Investment Project Financing
Western and Central Africa,Republic of Togo,Success,14000000,Specific Investment Loan
Eastern and Southern Africa,Republic of South Sudan,Success,28000000,Investment Project Financing
Western and Central Africa,Burkina Faso,Success,35000000,Development Policy Lending
Middle East and North Africa,West Bank and Gaza,Success,74850000,Investment Project Financing
Middle East and North Africa,West Bank and Gaza,Success,2000000,Specific Investment Loan
Middle East and North Africa,Republic of Djibouti,Success,12040000,Investment Project Financing
Middle East and North Africa,Republic of Djibouti,Success,25190000,Investment Project Financing
Eastern and Southern Africa,Republic of Mozambique,Success,350000,Technical Assistance Loan
Eastern and Southern Africa,Republic of Rwanda,Fail,125000000,Development Policy Lending
Eastern and Southern Africa,Republic of South Sudan,Success,3030000,Technical Assistance Loan
Eastern and Southern Africa,Republic of Rwanda,Success,5000000,Specific Investment Loan
Eastern and Southern Africa,Eastern and Southern Africa,Success,200000,Technical Assistance Loan
Eastern and Southern Africa,Republic of Burundi,Success,25000000,Development Policy Lending
Eastern and Southern Africa,Republic of South Sudan,Success,98500000,Investment Project Financing
Middle East and North Africa,Kingdom of Morocco,Success,160000000,Development Policy Lending
Western and Central Africa,Western and Central Africa,Success,290800000,Investment Project Financing
Western and Central Africa,Federal Republic of Nigeria,Success,400000000,Investment Project Financing
Eastern and Southern Africa,Republic of Mauritius,Success,15000000,Development Policy Lending
Western and Central Africa,Islamic Republic of Mauritania,Success,12400000,Investment Project Financing
Western and Central Africa,Republic of Togo,Success,14000000,Specific Investment Loan
Western and Central Africa,Republic of Togo,Success,14000000,Development Policy Lending
Eastern and Southern Africa,Democratic Republic of the Congo,Success,4400000,Technical Assistance Loan
Eastern and Southern Africa,Republic of Rwanda,Success,40000000,Development Policy Lending
Eastern and Southern Africa,United Republic of Tanzania,Success,35000000,Investment Project Financing
Africa,Africa,Success,410000,Technical Assistance Loan
Eastern and Southern Africa,Eastern and Southern Africa,Success,25000000,Investment Project Financing
Western and Central Africa,Western and Central Africa,Success,23050000,Investment Project Financing
Western and Central Africa,Republic of Senegal,Success,400000,Technical Assistance Loan
Eastern and Southern Africa,Republic of Burundi,Success,14800000,Specific Investment Loan
Middle East and North Africa,Lebanese Republic,Success,2000000,Investment Project Financing
Middle East and North Africa,Hashemite Kingdom of Jordan,Success,1830000,Specific Investment Loan
Eastern and Southern Africa,Democratic Republic of the Congo,Success,6800000,Specific Investment Loan
Western and Central Africa,Western and Central Africa,Success,15000000,Investment Project Financing
Eastern and Southern Africa,Southern Africa,Success,20000000,Investment Project Financing
Eastern and Southern Africa,Republic of Kenya,Success,427000000,Specific Investment Loan
Eastern and Southern Africa,Republic of Uganda,Success,1180000,Technical Assistance Loan
Middle East and North Africa,West Bank and Gaza,Success,3000000,Technical Assistance Loan
Eastern and Southern Africa,Eastern and Southern Africa,Success,1262500000,Investment Project Financing
Western and Central Africa,Republic of Chad,Success,29630000,Emergency Recovery Loan
Western and Central Africa,Republic of Cabo Verde,Success,31000000,Investment Project Financing
Middle East and North Africa,Middle East and North Africa,Fail,500000000,Adaptable Program Loan
Eastern and Southern Africa,Republic of Rwanda,Success,49000000,Investment Project Financing
Eastern and Southern Africa,Republic of Rwanda,Success,60000000,Specific Investment Loan
Western and Central Africa,Republic of Senegal,Success,30000000,Development Policy Lending
Eastern and Southern Africa,Republic of Rwanda,Success,80000000,Investment Project Financing
Eastern and Southern Africa,United Republic of Tanzania,Fail,300000000,
Eastern and Southern Africa,Federal Democratic Republic of Ethiopia,Success,370000000,Adaptable Program Loan
Eastern and Southern Africa,Eastern and Southern Africa,Success,201500000,Adaptable Program Loan
Eastern and Southern Africa,United Republic of Tanzania,Success,24280000,Investment Project Financing
Western and Central Africa,Republic of Sierra Leone,Success,24000000,Development Policy Lending
Eastern and Southern Africa,Republic of Mozambique,Success,750000,Technical Assistance Loan
Eastern and Southern Africa,Republic of Zambia,Success,30000000,Development Policy Lending
Middle East and North Africa,Arab Republic of Egypt,Success,200000000,Emergency Recovery Loan
Eastern and Southern Africa,Somali Democratic Republic,Success,2000000,Investment Project Financing
Eastern and Southern Africa,Republic of Kenya,Success,300000000,Investment Project Financing
Eastern and Southern Africa,Republic of Mozambique,Success,110000000,Development Policy Lending
Eastern and Southern Africa,Democratic Republic of the Congo,Success,250000,Technical Assistance Loan
Western and Central Africa,Burkina Faso,Success,90000000,Development Policy Lending
Eastern and Southern Africa,United Republic of Tanzania,Success,59000000,Specific Investment Loan
Western and Central Africa,Federal Republic of Nigeria,Success,200000000,
Western and Central Africa,Republic of Niger,Success,300000,Technical Assistance Loan
Western and Central Africa,Republic of Sierra Leone,Success,750000,Technical Assistance Loan
Western and Central Africa,Federal Republic of Nigeria,Success,100000000,Specific Investment Loan
Western and Central Africa,Republic of Sierra Leone,Success,16000000,Specific Investment Loan
Eastern and Southern Africa,Republic of Malawi,Success,50000000,Development Policy Lending
Eastern and Southern Africa,Democratic Republic of the Congo,Success,66950000,Specific Investment Loan
Western and Central Africa,Burkina Faso,Success,1400000,Technical Assistance Loan
Middle East and North Africa,Republic of Tunisia,Success,500000000,Development Policy Lending
Eastern and Southern Africa,Democratic Republic of the Congo,Success,75000000,Specific Investment Loan
Africa,Africa,Success,800000,Technical Assistance Loan
Eastern and Southern Africa,Republic of Mozambique,Success,270000,Technical Assistance Loan
Western and Central Africa,Republic of Niger,Success,30000000,Investment Project Financing
Eastern and Southern Africa,Republic of Malawi,Success,1830000,Technical Assistance Loan
Africa,Africa,Success,112000000,Specific Investment Loan
Western and Central Africa,Republic of Guinea,Success,10000000,Investment Project Financing
Western and Central Africa,Republic of Mali,Success,50000000,Development Policy Lending
Eastern and Southern Africa,Republic of Zimbabwe,Success,600000,Technical Assistance Loan
Eastern and Southern Africa,United Republic of Tanzania,Success,43380000,Specific Investment Loan
Africa,Africa,Success,1500000,Specific Investment Loan
Middle East and North Africa,Kingdom of Morocco,Success,15800000,Specific Investment Loan
Eastern and Southern Africa,United Republic of Tanzania,Success,2721800000,Sector Investment and Maintenance Loan
Eastern and Southern Africa,United Republic of Tanzania,Success,75000000,Investment Project Financing
Eastern and Southern Africa,Republic of Madagascar,Success,50000,Technical Assistance Loan
Eastern and Southern Africa,Republic of Mauritius,Success,20000000,Development Policy Lending
Eastern and Southern Africa,Democratic Republic of the Congo,Success,30000000,Emergency Recovery Loan
Western and Central Africa,Republic of Niger,Success,63000000,Investment Project Financing
Middle East and North Africa,Republic of Tunisia,Success,880000,Technical Assistance Loan
Eastern and Southern Africa,Democratic Republic of the Congo,Success,20000000,Specific Investment Loan
Western and Central Africa,Republic of Ghana,Success,30000000,Investment Project Financing
Eastern and Southern Africa,Republic of Uganda,Success,255000000,Investment Project Financing
Western and Central Africa,Federal Republic of Nigeria,Success,2740000,Technical Assistance Loan
Western and Central Africa,Republic of Liberia,Success,249400000,Investment Project Financing
Western and Central Africa,Republic of Senegal,Success,93500000,Investment Project Financing
Western and Central Africa,Burkina Faso,Success,250000,Technical Assistance Loan
Eastern and Southern Africa,Democratic Republic of the Congo,Success,11800000,Investment Project Financing
Western and Central Africa,Republic of Senegal,Success,46000000,Investment Project Financing
Eastern and Southern Africa,Federal Democratic Republic of Ethiopia,Success,3000000,Technical Assistance Loan
Eastern and Southern Africa,United Republic of Tanzania,Success,14250000,Specific Investment Loan
